contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-05-16,30,83.7,75.33,73.07,77.59,Wait
Q3_26,2026-05-16,44,83.7,73.66,70.64,76.67,Wait
Q3_26,2026-05-16,44,83.7,74.45,70.69,78.22,Wait
Q4_26,2026-05-16,30,88.65,79.79,77.39,82.18,Wait
Q4_26,2026-05-16,60,88.65,78.01,74.82,81.2,Wait
Q4_26,2026-05-16,90,88.65,78.19,74.2,82.18,Wait
Q1_27,2026-05-16,30,72.7,77.55,75.59,79.51,Potential Opportunity
Q1_27,2026-05-16,60,72.7,75.85,73.23,78.47,Potential Opportunity
Q1_27,2026-05-16,90,72.7,75.12,71.85,78.4,Potential Opportunity
Q2_27,2026-05-16,30,41.61,45.77,44.65,46.89,Potential Opportunity
Q2_27,2026-05-16,60,41.61,45.99,44.49,47.48,Potential Opportunity
Q2_27,2026-05-16,90,41.61,44.98,43.1,46.85,Potential Opportunity
YR27,2026-05-16,30,60.0,57.42,55.8,59.04,Wait
YR27,2026-05-16,60,60.0,58.32,56.16,60.48,Neutral
YR27,2026-05-16,90,60.0,58.71,56.01,61.41,Neutral
YR28,2026-05-16,30,55.2,56.37,54.88,57.86,Neutral
YR28,2026-05-16,60,55.2,55.96,53.97,57.95,Neutral
YR28,2026-05-16,90,55.2,55.78,53.3,58.27,Neutral
