contract,forecast_date,horizon_days,current_price,point_forecast,lower_80ci,upper_80ci,signal
Q3_26,2026-04-26,30,79.5,71.55,69.4,73.7,Wait
Q3_26,2026-04-26,60,79.5,69.96,67.1,72.82,Wait
Q3_26,2026-04-26,64,79.5,67.58,64.0,71.15,Wait
Q4_26,2026-04-26,30,84.75,76.28,73.99,78.56,Wait
Q4_26,2026-04-26,60,84.75,74.58,71.53,77.63,Wait
Q4_26,2026-04-26,90,84.75,72.04,68.22,75.85,Wait
Q1_27,2026-04-26,30,73.25,65.92,63.95,67.9,Wait
Q1_27,2026-04-26,60,73.25,64.46,61.82,67.1,Wait
Q1_27,2026-04-26,90,73.25,62.26,58.97,65.56,Wait
Q2_27,2026-04-26,30,36.37,32.73,31.75,33.71,Wait
Q2_27,2026-04-26,60,36.37,32.01,30.7,33.31,Wait
Q2_27,2026-04-26,90,36.37,30.91,29.28,32.55,Wait
YR27,2026-04-26,30,57.2,57.47,55.93,59.01,Neutral
YR27,2026-04-26,60,57.2,57.38,55.32,59.43,Neutral
YR27,2026-04-26,90,57.2,57.33,54.76,59.91,Neutral
YR28,2026-04-26,30,55.25,57.33,55.84,58.83,Potential Opportunity
YR28,2026-04-26,60,55.25,56.6,54.62,58.59,Neutral
YR28,2026-04-26,90,55.25,56.29,53.81,58.78,Neutral
